,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,exists?
1299412,1432775,de,88,0.9,IKB Deutsche Industriebank,https://de.wikipedia.org/wiki/IKB Deutsche Industriebank,,,,,,,,,
1127703,945156,de,88,0.9,Ius primae noctis,https://de.wikipedia.org/wiki/Ius primae noctis,,,,,,,,,
972195,545002,de,88,0.9,Urkost,https://de.wikipedia.org/wiki/Urkost,,,,,,,,,
1310836,1470178,de,88,0.9,WWF,https://de.wikipedia.org/wiki/WWF,,,,,,,,,
1187156,1104228,de,88,0.9,Blume,https://de.wikipedia.org/wiki/Blume,,,,,,,,,
2495708,8431204,de,88,0.9,Formel-1-Weltmeisterschaft 2015,https://de.wikipedia.org/wiki/Formel-1-Weltmeisterschaft 2015,,,,,,,,,
729895,34969,de,88,0.9,Weißes Haus,https://de.wikipedia.org/wiki/Weißes Haus,,,,,,,,,
760238,90512,de,88,0.9,Viadukt,https://de.wikipedia.org/wiki/Viadukt,,,,,,,,,
625947,3667447,de,88,0.9,Gemeinschaft der Gemeinden der Autonomen Provinz Kosovo und Metochien,https://de.wikipedia.org/wiki/Gemeinschaft der Gemeinden der Autonomen Provinz Kosovo und Metochien,,,,,,,,,
1604220,5204339,de,88,0.9,Expedition von Burke und Wills,https://de.wikipedia.org/wiki/Expedition von Burke und Wills,,,,,,,,,
1047474,737466,de,88,0.9,Faradayscher Käfig,https://de.wikipedia.org/wiki/Faradayscher Käfig,,,,,,,,,
580252,3503569,de,88,0.9,60 Minutes,https://de.wikipedia.org/wiki/60 Minutes,,,,,,,,,
925152,430553,de,88,0.9,Uganda,https://de.wikipedia.org/wiki/Uganda,,,,,,,,,
846523,261818,de,88,0.9,Ananas,https://de.wikipedia.org/wiki/Ananas,,,,,,,,,
81976,1664538,de,88,0.9,Türkisch für Anfänger,https://de.wikipedia.org/wiki/Türkisch für Anfänger,,,,,,,,,
19677,29632,de,88,0.9,Pontius Pilatus,https://de.wikipedia.org/wiki/Pontius Pilatus,,,,,,,,,
731250,37238,de,88,0.9,Martini (Cocktail),https://de.wikipedia.org/wiki/Martini (Cocktail),,,,,,,,,
1197327,1136589,de,88,0.9,Damenverbindung,https://de.wikipedia.org/wiki/Damenverbindung,,,,,,,,,
314962,2480238,de,88,0.9,Karl Friedrich von Hohenzollern,https://de.wikipedia.org/wiki/Karl Friedrich von Hohenzollern,,,,,,,,,
659663,3776417,de,88,0.9,Verwaltungsgliederung Georgiens,https://de.wikipedia.org/wiki/Verwaltungsgliederung Georgiens,,,,,,,,,
135870,1831702,de,88,0.9,Bundesunmittelbares Gebiet,https://de.wikipedia.org/wiki/Bundesunmittelbares Gebiet,,,,,,,,,
1179764,1081950,de,88,0.9,Demokratischer Sozialismus/Archiv,https://de.wikipedia.org/wiki/Demokratischer Sozialismus/Archiv,,,,,,,,,
751658,74582,de,88,0.9,August Macke,https://de.wikipedia.org/wiki/August Macke,,,,,,,,,
2517118,8505644,de,88,0.9,Entropie,https://de.wikipedia.org/wiki/Entropie,,,,,,,,,
835393,237558,de,88,0.9,Multiplexverfahren,https://de.wikipedia.org/wiki/Multiplexverfahren,,,,,,,,,
57985,1590128,de,88,0.9,Islam in Italien,https://de.wikipedia.org/wiki/Islam in Italien,,,,,,,,,
83032,1667411,de,88,0.9,Universalienproblem,https://de.wikipedia.org/wiki/Universalienproblem,,,,,,,,,
1295256,1420897,de,88,0.9,Liste der längsten Tunnel der Erde,https://de.wikipedia.org/wiki/Liste der längsten Tunnel der Erde,,,,,,,,,
179001,1974843,de,88,0.9,Growian,https://de.wikipedia.org/wiki/Growian,,,,,,,,,
174226,1958295,de,88,0.9,Hans Modrow,https://de.wikipedia.org/wiki/Hans Modrow,,,,,,,,,
967871,533439,de,88,0.9,Sofia,https://de.wikipedia.org/wiki/Sofia,,,,,,,,,
76012,1646611,de,88,0.9,Birken,https://de.wikipedia.org/wiki/Birken,,,,,,,,,
1086121,839118,de,88,0.9,Gewöhnliche Robinie,https://de.wikipedia.org/wiki/Gewöhnliche Robinie,,,,,,,,,
811883,189466,de,88,0.9,Barschel-Affäre,https://de.wikipedia.org/wiki/Barschel-Affäre,,,,,,,,,
733938,42139,de,88,0.9,Genfer Konventionen,https://de.wikipedia.org/wiki/Genfer Konventionen,,,,,,,,,
944266,472974,de,88,0.9,The Sisters of Mercy,https://de.wikipedia.org/wiki/The Sisters of Mercy,,,,,,,,,
2528239,8539088,de,88,0.9,Patriotische Europäer gegen die Islamisierung des Abendlandes/Archiv/004,https://de.wikipedia.org/wiki/Patriotische Europäer gegen die Islamisierung des Abendlandes/Archiv/004,,,,,,,,,
949229,484519,de,88,0.9,Udo Lindenberg,https://de.wikipedia.org/wiki/Udo Lindenberg,,,,,,,,,
2308912,7777301,de,88,0.9,Nekrolog 3. Quartal 2013,https://de.wikipedia.org/wiki/Nekrolog 3. Quartal 2013,,,,,,,,,
1206783,1163605,de,88,0.9,Humus,https://de.wikipedia.org/wiki/Humus,,,,,,,,,
424849,2914481,de,88,0.9,Neuenburg NE,https://de.wikipedia.org/wiki/Neuenburg NE,,,,,,,,,
955197,499712,de,88,0.9,Rockabilly,https://de.wikipedia.org/wiki/Rockabilly,,,,,,,,,
806879,179670,de,88,0.9,Nasenbohren,https://de.wikipedia.org/wiki/Nasenbohren,,,,,,,,,
1065346,787373,de,88,0.9,Gifhorn,https://de.wikipedia.org/wiki/Gifhorn,,,,,,,,,
1043781,728378,de,88,0.9,Zeche Zollverein,https://de.wikipedia.org/wiki/Zeche Zollverein,,,,,,,,,
1290011,1404306,de,88,0.9,International Federation of Football History & Statistics,https://de.wikipedia.org/wiki/International Federation of Football History & Statistics,,,,,,,,,
179324,1975998,de,88,0.9,Gars am Kamp,https://de.wikipedia.org/wiki/Gars am Kamp,,,,,,,,,
1379723,4311734,de,88,0.9,Giralgeldschöpfung,https://de.wikipedia.org/wiki/Giralgeldschöpfung,,,,,,,,,
