,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
471597,1070219,sv,22,0.9,"Skärted, Sprängsviken och del av Nänsjö","https://sv.wikipedia.org/wiki/Skärted, Sprängsviken och del av Nänsjö",,,,,,,,
263528,511700,sv,22,0.9,Oikofobi,https://sv.wikipedia.org/wiki/Oikofobi,,,,,,,,
170495,290469,sv,22,0.9,Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116,https://sv.wikipedia.org/wiki/Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116,,,,,,,,
548131,1390736,sv,22,0.9,Hjertstedt,https://sv.wikipedia.org/wiki/Hjertstedt,,,,,,,,
131656,211314,sv,22,0.9,Arabiska lånord i svenskan,https://sv.wikipedia.org/wiki/Arabiska lånord i svenskan,,,,,,,,
294068,587739,sv,22,0.9,Alexa Wolf,https://sv.wikipedia.org/wiki/Alexa Wolf,,,,,,,,
71802,110696,sv,22,0.9,Ramadan,https://sv.wikipedia.org/wiki/Ramadan,,,,,,,,
246633,472026,sv,22,0.9,Ulf Ekman,https://sv.wikipedia.org/wiki/Ulf Ekman,,,,,,,,
354644,743541,sv,22,0.9,Gimonäs Umeå Idrottsförening,https://sv.wikipedia.org/wiki/Gimonäs Umeå Idrottsförening,,,,,,,,
154723,257647,sv,22,0.9,Förnybara energikällor,https://sv.wikipedia.org/wiki/Förnybara energikällor,,,,,,,,
92292,145684,sv,22,0.9,Kurt Cobain,https://sv.wikipedia.org/wiki/Kurt Cobain,,,,,,,,
267219,522188,sv,22,0.9,Christer Lindarw,https://sv.wikipedia.org/wiki/Christer Lindarw,,,,,,,,
65269,98193,sv,22,0.9,Arkeologi,https://sv.wikipedia.org/wiki/Arkeologi,,,,,,,,
124580,198517,sv,22,0.9,Finsk-ugriska språk,https://sv.wikipedia.org/wiki/Finsk-ugriska språk,,,,,,,,
594205,1539900,sv,22,0.9,Eva och Franco Mattes,https://sv.wikipedia.org/wiki/Eva och Franco Mattes,,,,,,,,
13594,16106,sv,22,0.9,Tycho Brahe,https://sv.wikipedia.org/wiki/Tycho Brahe,,,,,,,,
256911,496694,sv,22,0.9,Svartsjuka,https://sv.wikipedia.org/wiki/Svartsjuka,,,,,,,,
620951,1593076,sv,22,0.9,Meddo,https://sv.wikipedia.org/wiki/Meddo,,,,,,,,
38294,52548,sv,22,0.9,Körkort,https://sv.wikipedia.org/wiki/Körkort,,,,,,,,
186800,327736,sv,22,0.9,Keflavik,https://sv.wikipedia.org/wiki/Keflavik,,,,,,,,
367241,776361,sv,22,0.9,Västtågen,https://sv.wikipedia.org/wiki/Västtågen,,,,,,,,
1849027,3942719,sv,22,0.9,Elisabeth Novotny,https://sv.wikipedia.org/wiki/Elisabeth Novotny,,,,,,,,
2187455,4911844,sv,22,0.9,Kvinnan med handväskan,https://sv.wikipedia.org/wiki/Kvinnan med handväskan,,,,,,,,
406600,884911,sv,22,0.9,Messiah (musikgrupp),https://sv.wikipedia.org/wiki/Messiah (musikgrupp),,,,,,,,
106808,170369,sv,22,0.9,Södra Ängby,https://sv.wikipedia.org/wiki/Södra Ängby,,,,,,,,
24099,31069,sv,22,0.9,Osmanska riket,https://sv.wikipedia.org/wiki/Osmanska riket,,,,,,,,
757235,1889351,sv,22,0.9,Josefin Hedström,https://sv.wikipedia.org/wiki/Josefin Hedström,,,,,,,,
463430,1046296,sv,22,0.9,Våldspornografi,https://sv.wikipedia.org/wiki/Våldspornografi,,,,,,,,
180398,312632,sv,22,0.9,Kommunreformer i Sverige,https://sv.wikipedia.org/wiki/Kommunreformer i Sverige,,,,,,,,
130183,208301,sv,22,0.9,Christopher Polhem,https://sv.wikipedia.org/wiki/Christopher Polhem,,,,,,,,
217493,399993,sv,22,0.9,Brittiska köket,https://sv.wikipedia.org/wiki/Brittiska köket,,,,,,,,
342029,710093,sv,22,0.9,Felipe Massa,https://sv.wikipedia.org/wiki/Felipe Massa,,,,,,,,
396927,857381,sv,22,0.9,Textkritik,https://sv.wikipedia.org/wiki/Textkritik,,,,,,,,
73066,112970,sv,22,0.9,Trollhättans kommun,https://sv.wikipedia.org/wiki/Trollhättans kommun,,,,,,,,
338246,697908,sv,22,0.9,Solna OK,https://sv.wikipedia.org/wiki/Solna OK,,,,,,,,
241253,459771,sv,22,0.9,U21-Europamästerskapet i fotboll 2009,https://sv.wikipedia.org/wiki/U21-Europamästerskapet i fotboll 2009,,,,,,,,
83497,130635,sv,22,0.9,Reformert kristendom,https://sv.wikipedia.org/wiki/Reformert kristendom,,,,,,,,
268785,526442,sv,22,0.9,Arn – Tempelriddaren,https://sv.wikipedia.org/wiki/Arn – Tempelriddaren,,,,,,,,
70424,108248,sv,22,0.9,Eric Ericson (dirigent),https://sv.wikipedia.org/wiki/Eric Ericson (dirigent),,,,,,,,
247134,473164,sv,22,0.9,Mount Everest,https://sv.wikipedia.org/wiki/Mount Everest,,,,,,,,
327289,667882,sv,22,0.9,Kronkalle,https://sv.wikipedia.org/wiki/Kronkalle,,,,,,,,
356638,749052,sv,22,0.9,Israels barriär på Västbanken,https://sv.wikipedia.org/wiki/Israels barriär på Västbanken,,,,,,,,
