,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,unsigned? ,notes
191266,532079,ko,69,0.91,2010년 FIFA 월드컵 이모저모,https://ko.wikipedia.org/wiki/2010년 FIFA 월드컵 이모저모,,,,,,,,,,
223931,646263,ko,69,0.91,2011년 대한민국 반값 등록금 논란/보존1,https://ko.wikipedia.org/wiki/2011년 대한민국 반값 등록금 논란/보존1,,,,,,,,,,
257630,753080,ko,69,0.91,아마미야 카린,https://ko.wikipedia.org/wiki/아마미야 카린,,,,,,,,,,
1046,2370,ko,70,0.91,김일성/보존문서1,https://ko.wikipedia.org/wiki/김일성/보존문서1,,,,,,,,,,
10416,21381,ko,70,0.91,동해의 이름에 대한 논쟁,https://ko.wikipedia.org/wiki/동해의 이름에 대한 논쟁,,,,,,,,,,
13079,31502,ko,70,0.91,동성애,https://ko.wikipedia.org/wiki/동성애,,,,,,,,,,
46107,119166,ko,70,0.91,FC 서울,https://ko.wikipedia.org/wiki/FC 서울,,,,,,,,,,
76870,195388,ko,70,0.91,한국의 나라 이름,https://ko.wikipedia.org/wiki/한국의 나라 이름,,,,,,,,,,
219655,632147,ko,70,0.91,보물찾기 (만화),https://ko.wikipedia.org/wiki/보물찾기 (만화),,,,,,,,,,
261864,768242,ko,70,0.91,제2차 세계 대전의 여파,https://ko.wikipedia.org/wiki/제2차 세계 대전의 여파,,,,,,,,,,
16783,41536,ko,71,0.91,이병도,https://ko.wikipedia.org/wiki/이병도,,,,,,,,,,
55888,144419,ko,71,0.91,시오카라,https://ko.wikipedia.org/wiki/시오카라,,,,,,,,,,
77563,197130,ko,71,0.91,태국어,https://ko.wikipedia.org/wiki/태국어,,,,,,,,,,
91502,235891,ko,71,0.91,조지아 (국가),https://ko.wikipedia.org/wiki/조지아 (국가),,,,,,,,,,
112931,292773,ko,71,0.91,빅뱅 (음악 그룹),https://ko.wikipedia.org/wiki/빅뱅 (음악 그룹),,,,,,,,,,
161925,432231,ko,71,0.91,윤서인,https://ko.wikipedia.org/wiki/윤서인,,,,,,,,,,
192677,537153,ko,71,0.91,김천(구미)역,https://ko.wikipedia.org/wiki/김천(구미)역,,,,,,,,,,
339552,1017398,ko,71,0.91,박정희,https://ko.wikipedia.org/wiki/박정희,,,,,,,,,,
378667,1177543,ko,71,0.91,교회복지사,https://ko.wikipedia.org/wiki/교회복지사,,,,,,,,,,
13080,31504,ko,72,0.91,마리아 (예수의 어머니),https://ko.wikipedia.org/wiki/마리아 (예수의 어머니),,,,,,,,,,
21006,51531,ko,72,0.91,두근두근 비밀친구,https://ko.wikipedia.org/wiki/두근두근 비밀친구,,,,,,,,,,
201233,568073,ko,72,0.91,서울외국어고등학교,https://ko.wikipedia.org/wiki/서울외국어고등학교,,,,,,,,,,
267529,787483,ko,72,0.91,퀘벡 (도시),https://ko.wikipedia.org/wiki/퀘벡 (도시),,,,,,,,,,
24345,61725,ko,73,0.92,명성황후,https://ko.wikipedia.org/wiki/명성황후,,,,,,,,,,
25126,63968,ko,73,0.92,한국과학기술원,https://ko.wikipedia.org/wiki/한국과학기술원,,,,,,,,,,
38754,101112,ko,73,0.92,김구/보존문서1,https://ko.wikipedia.org/wiki/김구/보존문서1,,,,,,,,,,
58171,149753,ko,73,0.92,츤데레,https://ko.wikipedia.org/wiki/츤데레,,,,,,,,,,
79782,203097,ko,73,0.92,가톨릭주의,https://ko.wikipedia.org/wiki/가톨릭주의,,,,,,,,,,
309504,914757,ko,73,0.92,스페인,https://ko.wikipedia.org/wiki/스페인,,,,,,,,,,
348159,1052321,ko,73,0.92,대한예수교장로회(개혁고려),https://ko.wikipedia.org/wiki/대한예수교장로회(개혁고려),,,,,,,,,,
18169,44853,ko,74,0.92,한국어 위키백과,https://ko.wikipedia.org/wiki/한국어 위키백과,,,,,,,,,,
88456,228589,ko,74,0.92,신우익,https://ko.wikipedia.org/wiki/신우익,,,,,,,,,,
184955,509168,ko,74,0.92,양요나,https://ko.wikipedia.org/wiki/양요나,,,,,,,,,,
191382,532470,ko,74,0.92,아마미 유키,https://ko.wikipedia.org/wiki/아마미 유키,,,,,,,,,,
260837,764859,ko,74,0.92,새누리당,https://ko.wikipedia.org/wiki/새누리당,,,,,,,,,,
2597,5161,ko,75,0.92,일본/보존문서1,https://ko.wikipedia.org/wiki/일본/보존문서1,,,,,,,,,,
29787,76757,ko,76,0.92,동방신기/보존 1,https://ko.wikipedia.org/wiki/동방신기/보존 1,,,,,,,,,,
147886,386601,ko,76,0.92,조두순 사건,https://ko.wikipedia.org/wiki/조두순 사건,,,,,,,,,,
306032,903245,ko,76,0.92,FC 서울 2군과 아카데미,https://ko.wikipedia.org/wiki/FC 서울 2군과 아카데미,,,,,,,,,,
325315,964536,ko,76,0.92,프리즘 (감시 체계),https://ko.wikipedia.org/wiki/프리즘 (감시 체계),,,,,,,,,,
344950,1036846,ko,76,0.92,박원순/보존문서2,https://ko.wikipedia.org/wiki/박원순/보존문서2,,,,,,,,,,
40022,104195,ko,77,0.92,무한도전,https://ko.wikipedia.org/wiki/무한도전,,,,,,,,,,
45606,117944,ko,77,0.92,문근영,https://ko.wikipedia.org/wiki/문근영,,,,,,,,,,
147884,386596,ko,77,0.92,제시카 (1989년),https://ko.wikipedia.org/wiki/제시카 (1989년),,,,,,,,,,
409586,1331380,ko,77,0.92,고등연구실습원/보존문서1,https://ko.wikipedia.org/wiki/고등연구실습원/보존문서1,,,,,,,,,,
22110,55653,ko,78,0.92,일본군 위안부,https://ko.wikipedia.org/wiki/일본군 위안부,,,,,,,,,,
49835,128516,ko,78,0.92,잰말 놀이,https://ko.wikipedia.org/wiki/잰말 놀이,,,,,,,,,,
163210,436520,ko,79,0.93,MC몽,https://ko.wikipedia.org/wiki/MC몽,,,,,,,,,,
